漢字,辞典,検字番号
朝,大漢和辞典,14374
朝,日本語漢字辞典,4790
朝,日本語漢字辞典,4791
朝,新大字典,6693
朝,新大字典,6694
朝,新大字典,6695
朝,大字源,4013
朝,大字源,4014
朝,大漢語林,4779
朝,大漢語林,4780
鳥,大漢和辞典,46634
鳥,日本語漢字辞典,14916
鳥,新大字典,20299
鳥,大字源,11906
鳥,大漢語林,13530
直,大漢和辞典,23136
直,日本語漢字辞典,7712
直,新大字典,61
直,新大字典,62
直,新大字典,63
直,新大字典,68
直,新大字典,10636
直,大字源,6373
直,大漢語林,7504
通,大漢和辞典,38892
通,大漢和辞典,38892
通,日本語漢字辞典,12801
通,日本語漢字辞典,12802
通,新大字典,17151
通,新大字典,17152
通,大字源,10166
通,大字源,10167
通,大漢語林,11548
通,大漢語林,11549
点,大漢和辞典,18980
点,日本語漢字辞典,6601
点,新大字典,9174
点,大字源,12161
点,大漢語林,6618
店,大漢和辞典,9267
店,日本語漢字辞典,3119
店,新大字典,4352
店,大字源,2503
店,大漢語林,3035
電,大漢和辞典,42253
電,日本語漢字辞典,13875
電,新大字典,18570
電,大字源,11007
電,大漢語林,12605
冬,大漢和辞典,1610
冬,日本語漢字辞典,2146
冬,日本語漢字辞典,2147
冬,新大字典,1036
冬,新大字典,1037
冬,大字源,599
冬,大字源,600
冬,大漢語林,2092
冬,大漢語林,2093
刀,大漢和辞典,1845
刀,日本語漢字辞典,827
刀,新大字典,1115
刀,大字源,660
刀,大漢語林,823
当,大漢和辞典,9913
当,日本語漢字辞典,3301
当,新大字典,3641
当,大字源,6106
当,大漢語林,3188
答,大漢和辞典,26006
答,日本語漢字辞典,8509
答,新大字典,11653
答,大字源,7025
答,大漢語林,8253
東,大漢和辞典,14499
東,日本語漢字辞典,4894
東,新大字典,6774
東,大字源,4082
東,大漢語林,4971
道,大漢和辞典,39010
道,大漢和辞典,39010
道,日本語漢字辞典,12864
道,日本語漢字辞典,12865
道,新大字典,17228
道,新大字典,17229
道,大字源,10221
道,大字源,10222
道,大漢語林,11608
道,大漢語林,11609
同,大漢和辞典,3294
同,日本語漢字辞典,1314
同,新大字典,1771
同,大字源,1078
同,大漢語林,1274
読,大漢和辞典,35580
読,日本語漢字辞典,11963
読,新大字典,15757
読,大字源,9360
読,大漢語林,10723
内,大漢和辞典,366
内,日本語漢字辞典,722
内,新大字典,285
内,新大字典,952
